Release Group,%...5,%...7,tconst,startYear,runtimeMinutes,g1,g2,g3,averageRating,numVotes,Total
Daddy's Home 2,57.6%,42.4%,tt5657846,2017-01-01,100,Comedy,NA,NA,6,71154,180613180
The Post,45.6%,54.4%,tt6294822,2017-01-01,116,Drama,NA,NA,7.2,147706,179769457
Abominable,33.9%,66.1%,tt6324278,2019-01-01,97,Adventure,Animation,Comedy,7,37111,179053956
Baywatch,32.6%,67.4%,tt1469304,2017-01-01,116,Action,Comedy,Crime,5.5,180808,177856751
The Hitman's Bodyguard,42.7%,57.3%,tt1959563,2017-01-01,118,Action,Comedy,Crime,6.9,223146,176586701
Ip Man 4: The Finale,2.2%,97.8%,tt2076298,2019-01-01,107,Action,Biography,Drama,7,30805,176345966
The Mule,59.4%,40.6%,tt7959026,2018-01-01,116,Crime,Drama,Thriller,7,131999,174804407
The Nutcracker and the Four Realms,31.5%,68.5%,tt5523010,2018-01-01,99,Adventure,Family,Fantasy,5.5,32900,173961069
Gemini Man,28%,72%,tt1025100,2019-01-01,117,Action,Adventure,Sci-Fi,5.7,110353,173469516
Spies in Disguise,38.9%,61.1%,tt5814534,2019-01-01,102,Action,Adventure,Animation,6.8,45986,171616764
John Wick: Chapter 2,53.6%,46.4%,tt4425200,2017-01-01,122,Action,Crime,Thriller,7.5,411821,171539887
Ghost in the Shell,23.9%,76.1%,tt1219827,2017-01-01,107,Action,Crime,Drama,6.3,210911,169801921
Insidious: The Last Key,40.4%,59.6%,tt5726086,2018-01-01,103,Horror,Mystery,Thriller,5.7,58647,167885588
The Suicide Squad,33.3%,66.7%,tt6334354,2021-01-01,132,Action,Adventure,Comedy,7.2,318023,167417425
Wonder Woman 1984,28.1%,71.9%,tt7126948,2020-01-01,151,Action,Adventure,Fantasy,5.4,251597,166801036
Space Jam: A New Legacy,43.3%,56.7%,tt3554046,2021-01-01,115,Adventure,Animation,Comedy,4.4,66753,162892228
The Sacrifice,-,100%,tt0091670,1986-01-01,149,Drama,NA,NA,7.9,27589,161047608
The Predator,31.8%,68.2%,tt3829266,2018-01-01,107,Action,Adventure,Sci-Fi,5.3,126007,160542134
"Three Billboards Outside Ebbing, Missouri",34%,66%,tt5027774,2017-01-01,115,Comedy,Crime,Drama,8.1,486281,160192031
Johnny English Strikes Again,2.8%,97.2%,tt6921996,2018-01-01,89,Action,Adventure,Comedy,6.2,71852,158970776
Hustlers,66.6%,33.4%,tt5503686,2019-01-01,110,Comedy,Crime,Drama,6.3,95806,157563598
The Climbers,0.3%,99.7%,tt9635616,2019-01-01,125,Action,Adventure,Drama,5.5,1211,156892866
The Matrix Resurrections,24.1%,75.9%,tt10838180,2021-01-01,148,Action,Sci-Fi,NA,5.7,212443,156575035
Escape Room,36.6%,63.4%,tt5886046,2019-01-01,99,Action,Adventure,Horror,6.4,115411,155712077
Yesterday,47.4%,52.6%,tt8079248,2019-01-01,116,Comedy,Fantasy,Music,6.8,147181,154608507
Jujutsu Kaisen 0: The Movie,19.2%,80.8%,tt14331144,2021-01-01,105,Action,Animation,Fantasy,8.1,4965,154261163
House of Gucci,34.9%,65.1%,tt11214590,2021-01-01,158,Crime,Drama,NA,6.7,93833,154156873
Peter Rabbit 2: The Runaway,26.3%,73.7%,tt8376234,2021-01-01,93,Adventure,Animation,Comedy,6.2,10230,153901717
Duckweed,0.3%,99.7%,tt6461514,2017-01-01,102,Comedy,Drama,Fantasy,6.4,1361,152894264
Red Sparrow,30.9%,69.1%,tt2873282,2018-01-01,140,Action,Drama,Thriller,6.6,181646,151572634
Darkest Hour,37.4%,62.6%,tt4555426,2017-01-01,125,Biography,Drama,War,7.4,194792,150847207
A Writer's Odyssey,0.1%,99.9%,tt9685342,2021-01-01,130,Action,Adventure,Fantasy,6.2,2412,150123320
King Arthur: Legend of the Sword,26.3%,73.7%,tt1972591,2017-01-01,126,Action,Adventure,Drama,6.7,211322,148675066
The Angry Birds Movie 2,28.2%,71.8%,tt6095472,2019-01-01,97,Action,Adventure,Animation,6.4,27716,147792047
The Boss Baby 2: Family Business,39%,61%,tt6932874,2021-01-01,107,Adventure,Animation,Comedy,5.9,15925,146745280
Angel Has Fallen,47.1%,52.9%,tt6189022,2019-01-01,121,Action,Thriller,NA,6.4,93625,146661977
The Foreigner,23.7%,76.3%,tt1615160,2017-01-01,113,Action,Thriller,NA,7,111861,145374099
PAW Patrol: The Movie,27.8%,72.2%,tt11832046,2021-01-01,86,Action,Adventure,Animation,6.2,5515,144327371
The Invisible Man,49.2%,50.8%,tt1051906,2020-01-01,124,Drama,Horror,Mystery,7.1,213241,143151000
More Than Blue,0.5%,99.5%,tt1454545,2009-01-01,105,Drama,Romance,NA,7.5,2538,142958164
Power Rangers,60%,40%,tt3717490,2017-01-01,124,Action,Adventure,Fantasy,5.9,106576,142337240
Onward,43.4%,56.6%,tt7146812,2020-01-01,102,Adventure,Animation,Comedy,7.4,139083,141940042
Girls Trip,81.9%,18.1%,tt3564472,2017-01-01,122,Adventure,Comedy,Drama,6.2,37054,140552359
The First Purge,50.7%,49.3%,tt6133466,2018-01-01,97,Action,Horror,Sci-Fi,5.2,62326,137056262
How Long Will I Love U,0.5%,99.5%,tt8404272,2018-01-01,101,Comedy,Fantasy,Romance,6.4,1008,136796719
American Made,38.1%,61.9%,tt3532216,2017-01-01,115,Action,Comedy,Crime,7.1,173608,134866593
Tom & Jerry: The Movie,34.9%,65.1%,tt1361336,2021-01-01,101,Adventure,Animation,Comedy,5.3,33152,133336687
A Wrinkle in Time,75.7%,24.3%,tt1620680,2018-01-01,109,Adventure,Family,Fantasy,4.2,44279,132675864
Be Somebody,-,100%,tt5512872,2016-01-01,88,Comedy,Drama,Romance,5.7,3967,132326332
Halloween Kills,69.9%,30.1%,tt10665338,2021-01-01,105,Horror,Thriller,NA,5.6,69192,131647155
The House with a Clock in Its Walls,52.1%,47.9%,tt2119543,2018-01-01,105,Comedy,Family,Fantasy,6,50663,131457147
A Bad Moms Christmas,55.2%,44.8%,tt6359956,2017-01-01,104,Comedy,NA,NA,5.5,49702,130560428
Raya and the Last Dragon,42%,58%,tt5109280,2021-01-01,107,Action,Adventure,Animation,7.3,139622,130423032
Warm Hug,-,100%,tt13529418,2020-01-01,112,Comedy,NA,NA,5.3,167,129240236
Sister,-,100%,tt2062969,2012-01-01,97,Crime,Drama,NA,7,6750,128317206
Ad Astra,39.4%,60.6%,tt2935510,2019-01-01,123,Adventure,Drama,Mystery,6.5,225282,127461872
Midway,44.6%,55.4%,tt6924650,2019-01-01,138,Action,Drama,History,6.7,81093,127420861
The King's Man,29.5%,70.5%,tt6856242,2021-01-01,131,Action,Adventure,Thriller,6.3,105373,125897478
The Upside,86%,14%,tt1987680,2017-01-01,126,Comedy,Drama,NA,7,54862,125852517
Happy Death Day,44.4%,55.6%,tt5308322,2017-01-01,96,Comedy,Horror,Mystery,6.6,134555,125479266
Captain Underpants: The First Epic Movie,58.9%,41.1%,tt2091256,2017-01-01,89,Action,Adventure,Animation,6.2,27604,125427681
The Curse of La Llorona,44.5%,55.5%,tt4913966,2019-01-01,93,Horror,Mystery,Thriller,5.3,48118,123133739
The Lego Ninjago Movie,48.2%,51.8%,tt3014284,2017-01-01,101,Action,Adventure,Animation,6,25353,123081555
Looking Up,<0.1%,99.9%,tt10195210,2019-01-01,147,Drama,NA,NA,6.2,458,122994583
Zombieland: Double Tap,59.5%,40.5%,tt1560220,2019-01-01,99,Action,Comedy,Horror,6.7,170390,122810399
Secret Superstar,-,100%,tt6108090,2017-01-01,150,Drama,Music,NA,7.9,24112,122026260
Last Christmas,28.9%,71.1%,tt8623904,2019-01-01,103,Comedy,Drama,Fantasy,6.5,75462,121550750
Soul,-,100%,tt2948372,2020-01-01,100,Adventure,Animation,Comedy,8.1,304794,120957731
Instant Family,55.9%,44.1%,tt7401588,2018-01-01,118,Comedy,Drama,NA,7.3,103272,120556201
The Commuter,30.3%,69.7%,tt1590193,2018-01-01,104,Action,Mystery,Thriller,6.3,113155,119942387
Extreme Job,1.3%,98.7%,tt9541602,2019-01-01,111,Action,Comedy,Crime,7,9629,119932733
The Addams Family 2,47.1%,52.9%,tt11125620,2021-01-01,93,Adventure,Animation,Comedy,5.4,9677,119815153
Dora and the Lost City of Gold,50.5%,49.5%,tt7547410,2019-01-01,102,Adventure,Animation,Comedy,6.1,29789,119682635
Wonder Park,37.8%,62.2%,tt6428676,2019-01-01,85,Adventure,Animation,Comedy,5.8,11726,119559110
Forever Young,-,100%,tt0104291,1992-01-01,102,Drama,Romance,Sci-Fi,6.3,47050,119055731
A Cool Fish,0.5%,99.5%,tt9282616,2018-01-01,109,Comedy,NA,NA,6.9,1669,118153135
P Storm,0.3%,99.7%,tt10017680,2019-01-01,96,Action,Crime,NA,5.9,685,117991727
Game Night,58.8%,41.2%,tt2704998,2018-01-01,100,Action,Adventure,Comedy,6.9,227681,117679066
Dragon Ball Super: Broly,26.5%,73.5%,tt7961060,2018-01-01,100,Action,Adventure,Animation,7.8,25956,115757940
Detective Conan: The Fist of Blue Sapphire,-,100%,tt9501310,2019-01-01,109,Action,Adventure,Animation,6.3,1469,115570314
The Gentlemen,31.7%,68.3%,tt8367814,2019-01-01,113,Action,Comedy,Crime,7.8,308503,115171795
The Monkey King 3,0.2%,99.8%,tt6466464,2018-01-01,114,Action,Adventure,Family,5.5,1441,115084576
My Love,<0.1%,99.9%,tt1233484,2007-01-01,111,Comedy,Romance,NA,6.7,251,114016434
The Dark Tower,44.8%,55.2%,tt1648190,2017-01-01,95,Action,Adventure,Fantasy,5.6,136597,113231078
Pet Sematary,48.4%,51.6%,tt0098084,1989-01-01,103,Fantasy,Horror,Thriller,6.5,101553,113118226
Boonie Bears: Blast Into the Past,-,100%,tt10250750,2019-01-01,90,Adventure,Animation,Fantasy,5.3,204,112367881
The Call of the Wild,56.1%,43.9%,tt7504726,2020-01-01,100,Adventure,Drama,Family,6.7,46900,111105497
Good Boys,74.9%,25.1%,tt6977338,2019-01-01,90,Adventure,Comedy,NA,6.7,72038,111037232
Buddies in India,0.3%,99.7%,tt6152908,2017-01-01,99,Action,Comedy,NA,3.7,335,110155128
Along With the Gods: The Two Worlds,1.7%,98.3%,tt7160070,2017-01-01,139,Action,Drama,Fantasy,7.3,14647,109383972
Clifford the Big Red Dog,45.6%,54.4%,tt2397461,2021-01-01,96,Adventure,Comedy,Family,6,10696,107347356
First Man,42.5%,57.5%,tt1213641,2018-01-01,141,Biography,Drama,History,7.3,183678,105697415
Scary Stories to Tell in the Dark,65.9%,34.1%,tt3387520,2019-01-01,108,Adventure,Horror,Mystery,6.2,73235,104545505
Book Club,65.7%,34.3%,tt6857166,2018-01-01,104,Comedy,Drama,Romance,6.1,27690,104438188
Wrath of Man,26.4%,73.6%,tt11083552,2021-01-01,119,Action,Crime,Thriller,7.1,155381,103966489
Immortal Demon Slayer,-,100%,tt6513406,2017-01-01,123,Action,Adventure,Family,5.9,1660,103818506
Night School,75%,25%,tt6781982,2018-01-01,111,Comedy,NA,NA,5.6,39878,103105878
Jigsaw,37%,63%,tt3348730,2017-01-01,92,Crime,Horror,Mystery,5.7,77159,102952888
Detective Conan: Zero the Enforcer,-,100%,tt7880466,2018-01-01,115,Action,Adventure,Animation,6.2,1511,101860359
Life,30.1%,69.9%,tt5442430,2017-01-01,104,Horror,Sci-Fi,Thriller,6.6,223201,100541806
Atomic Blonde,51.7%,48.3%,tt2406566,2017-01-01,115,Action,Thriller,NA,6.7,188992,100014025
Line Walker 2: Invisible Spy,0.3%,99.7%,tt10295602,2019-01-01,98,Action,Crime,Thriller,6.1,803,99482027
Alpha,36.5%,63.5%,tt4244998,2018-01-01,96,Action,Adventure,Drama,6.7,61221,98203196
Along With the Gods: The Last 49 Days,1.2%,98.8%,tt8116428,2018-01-01,142,Action,Drama,Fantasy,7.1,6948,97962238
A Simple Favor,54.8%,45.2%,tt7040874,2018-01-01,117,Comedy,Crime,Mystery,6.8,144298,97644617
Legend of the Demon Cat,-,100%,tt6157626,2017-01-01,129,Adventure,Drama,Family,6.2,2634,97051623
The Shack,59.2%,40.8%,tt2872518,2017-01-01,132,Drama,Fantasy,NA,6.3,35192,96942115
Boonie Bears: The Big Shrink,-,100%,tt8028526,2018-01-01,90,Animation,NA,NA,5.4,205,96845907
The Favourite,35.8%,64.2%,tt5083738,2018-01-01,119,Biography,Comedy,Drama,7.5,193203,95918706
The New King of Comedy,-,100%,tt9368628,2019-01-01,90,Comedy,Drama,NA,6.2,1629,95618308
Detective Conan: The Scarlet Bullet,-,100%,tt12093860,2021-01-01,110,Action,Animation,Crime,6.3,924,95580715
Truth or Dare,43.4%,56.6%,tt6772950,2018-01-01,100,Horror,Thriller,NA,5.2,54073,95330493
The Hustle,37.3%,62.7%,tt1298644,2019-01-01,93,Comedy,Crime,NA,5.4,57060,95017038
Adoring,-,100%,tt10203982,2019-01-01,108,Drama,Family,Romance,5.5,173,94975692
Kill Mobile,-,100%,tt9408490,2018-01-01,90,Drama,NA,NA,5.6,340,94870905
I Feel Pretty,51.6%,48.4%,tt6791096,2018-01-01,110,Comedy,Romance,NA,5.6,53028,94539426
Blockers,64.1%,35.9%,tt2531344,2018-01-01,102,Comedy,NA,NA,6.2,78008,94017294
BlacKkKlansman,52.8%,47.2%,tt7349662,2018-01-01,135,Biography,Comedy,Crime,7.5,253756,93400823
Evangelion: 3.0+1.01 Thrice Upon a Time,-,100%,tt2458948,2021-01-01,154,Action,Animation,Drama,8,8436,92246218
End Game,<0.1%,100%,tt0415778,2006-01-01,93,Action,Thriller,NA,5.1,5411,91824961
Shadow,0.6%,99.4%,tt6864046,2018-01-01,116,Action,Adventure,Drama,7,15227,91708374
Crawl,42.6%,57.4%,tt8364368,2019-01-01,87,Action,Adventure,Horror,6.1,81607,91542097
Five Feet Apart,50%,50%,tt6472976,2019-01-01,116,Drama,Romance,NA,7.2,60887,91522094
Rambo: Last Blood,49%,51%,tt1206885,2019-01-01,89,Action,Thriller,NA,6.1,93955,91490353
Overboard,55.1%,44.9%,tt0093693,1987-01-01,112,Comedy,Romance,NA,6.9,58278,91244913
Sherlock Gnomes,47.8%,52.2%,tt2296777,2018-01-01,86,Adventure,Animation,Comedy,5.2,12058,90497778
Jojo Rabbit,36.9%,63.1%,tt2584384,2019-01-01,108,Comedy,Drama,War,7.9,363411,90335025
Old,53.6%,46.4%,tt10954652,2021-01-01,108,Drama,Horror,Mystery,5.8,91064,90146510
Detective Dee: The Four Heavenly Kings,0.3%,99.7%,tt6869538,2018-01-01,132,Action,Adventure,Drama,6.3,2674,90040771
Chasing the Dragon,0.5%,99.5%,tt6015328,2017-01-01,128,Action,Biography,Crime,6.7,3969,87965942
Serial (Bad) Weddings 2,-,100%,tt6556670,2019-01-01,99,Comedy,Drama,NA,6.1,7458,87761988
Tiger Zinda Hai,6.4%,93.6%,tt5956100,2017-01-01,161,Action,Adventure,Thriller,6,28371,87320000
"Hello, Mrs. Money",-,100%,tt8299800,2018-01-01,113,Comedy,NA,NA,4.7,288,86874070
Robin Hood,35.6%,64.4%,tt0955308,2010-01-01,140,Action,Adventure,Drama,6.6,265110,86489031
A Taxi Driver,1.8%,98.2%,tt6878038,2017-01-01,137,Action,Drama,History,7.9,22594,86252940
I Can Only Imagine,97%,3%,tt6450186,2018-01-01,110,Biography,Drama,Family,7.3,15970,86086881
Hidden Man,-,100%,tt8434380,2018-01-01,137,Action,Crime,Drama,6.3,2078,85170581
Going in Style,53%,47%,tt2568862,2017-01-01,96,Comedy,Crime,NA,6.6,83755,84918541
Mortal Kombat,50.6%,49.4%,tt0293429,2021-01-01,110,Action,Adventure,Fantasy,6.1,163979,83726031
Mortal Engines,19.1%,80.9%,tt1571234,2018-01-01,128,Action,Adventure,Fantasy,6.1,122306,83672673
Rings,33.5%,66.5%,tt0498381,2017-01-01,102,Drama,Horror,Mystery,4.5,40157,83080890
Once Upon A Time,0.6%,99.4%,tt6138688,2017-01-01,109,Drama,Fantasy,Romance,5.3,1381,82886178
One Piece: Stampede,1.6%,98.4%,tt9430698,2019-01-01,101,Action,Adventure,Animation,7.6,5483,81562741
iPartment the Movie,-,100%,tt8893870,2018-01-01,117,Adventure,Comedy,Fantasy,2.8,130,81096321
Doraemon the Movie: Nobita's Treasure Island,-,100%,tt8098546,2018-01-01,108,Adventure,Animation,Comedy,6.8,757,80920916
A Dog's Way Home,52%,48%,tt7616798,2019-01-01,96,Adventure,Drama,Family,6.7,17375,80708134
Caught in Time,-,100%,tt9877138,2020-01-01,95,Crime,Drama,NA,6,659,80543319
Den of Thieves,55.8%,44.2%,tt1259528,2018-01-01,140,Action,Crime,Drama,7,106719,80509622
Hereditary,54.9%,45.1%,tt7784604,2018-01-01,127,Drama,Horror,Mystery,7.3,287977,80200936
Paradox,-,100%,tt7245176,2017-01-01,101,Action,Adventure,Crime,6.5,3886,79226860
Lady Bird,62%,38%,tt4925292,2017-01-01,94,Comedy,Drama,NA,7.4,275990,78965611
Code Blue: The Movie,-,100%,tt7731512,2018-01-01,127,Drama,NA,NA,7.2,1269,78778562
Tag,70.1%,29.9%,tt2854926,2018-01-01,100,Action,Comedy,NA,6.5,129391,78130625
Boonie Bears: The Wild Life,-,100%,tt11654032,2020-01-01,99,Animation,NA,NA,5.4,115,77961427
Candyman,79%,21%,tt0103919,1992-01-01,99,Horror,Thriller,NA,6.7,87948,77411570
Fantastica: A Boonie Bears Adventure,-,100%,tt6857250,2017-01-01,89,Action,Adventure,Animation,5.6,183,77151096
The Forever Purge,57.8%,42.2%,tt10327252,2021-01-01,103,Action,Horror,Thriller,5.4,27760,76994245
Sanju,10.3%,89.7%,tt6452574,2018-01-01,155,Biography,Comedy,Drama,7.8,52724,76693052
Cold Pursuit,42.1%,57.9%,tt5719748,2019-01-01,119,Action,Comedy,Crime,6.2,67224,76419755
Vice,62.9%,37.1%,tt6266538,2018-01-01,132,Biography,Comedy,Drama,7.2,140662,76073488
Widows,55.8%,44.2%,tt4218572,2018-01-01,129,Crime,Drama,Thriller,6.9,95451,75984700
West Side Story,50.7%,49.3%,tt0055614,1961-01-01,153,Crime,Drama,Musical,7.6,111619,75962377
Sicario: Day of the Soldado,66%,34%,tt5052474,2018-01-01,122,Action,Adventure,Crime,7.1,142282,75837743
A Dog's Journey,30.1%,69.9%,tt8385474,2019-01-01,109,Adventure,Comedy,Drama,7.4,23737,75741734
Searching,34.5%,65.5%,tt7668870,2018-01-01,102,Drama,Mystery,Thriller,7.6,158220,75462037
The Spy Who Dumped Me,44.6%,55.4%,tt6663582,2018-01-01,117,Action,Adventure,Comedy,6,76044,75320680
1921,-,100%,tt6958030,2018-01-01,144,Horror,Mystery,Romance,4.5,1230,75159828
Animal World,-,100%,tt7946836,2018-01-01,132,Action,Fantasy,Sci-Fi,6.5,4374,74922830
A Madea Family Funeral,98%,2%,tt7054636,2019-01-01,109,Comedy,Drama,NA,4.5,4427,74747725
Cats,36.8%,63.2%,tt5697572,2019-01-01,110,Comedy,Drama,Family,2.8,49540,73833348
Charlie's Angels,24.3%,75.7%,tt0160127,2000-01-01,98,Action,Adventure,Comedy,5.6,185044,73279888
Amazing China,-,100%,tt8081062,2018-01-01,90,Documentary,NA,NA,1.6,3828,72506343
Doctor Sleep,43.6%,56.4%,tt5606664,2019-01-01,152,Drama,Fantasy,Horror,7.3,180596,72381712
Second Act,54.3%,45.7%,tt2126357,2018-01-01,103,Comedy,Drama,Romance,5.8,26775,72282227
What Men Want,75.6%,24.4%,tt7634968,2019-01-01,117,Comedy,Fantasy,Romance,5.3,27549,72216294
Hitman's Wife's Bodyguard,54.3%,45.7%,tt8385148,2021-01-01,100,Action,Comedy,Crime,6.1,80340,70060492
After,17.5%,82.5%,tt4126476,2019-01-01,105,Drama,Romance,NA,5.4,51406,69518232
Exit,0.7%,99.3%,tt10648440,2019-01-01,103,Action,Comedy,NA,7,5695,69501772
Playing with Fire,64%,36%,tt9134216,2019-01-01,96,Comedy,Family,NA,5.1,14233,69412425
The Nut Job 2: Nutty by Nature,41.3%,58.7%,tt3486626,2017-01-01,91,Adventure,Animation,Comedy,5.5,6533,68743485
The Yin-Yang Master: Dream of Eternity,-,100%,tt11454718,2020-01-01,132,Action,Drama,Fantasy,6.5,4618,68000000
Shoplifters,4.9%,95.1%,tt8075192,2018-01-01,121,Crime,Drama,NA,7.9,73131,67999335
A Beautiful Day in the Neighborhood,90.8%,9.2%,tt3224458,2019-01-01,109,Biography,Drama,NA,7.3,75977,67925733
12 Strong,67.9%,32.1%,tt1413492,2018-01-01,130,Action,Drama,History,6.5,77335,67450815
American Assassin,53.9%,46.1%,tt1961175,2017-01-01,111,Action,Thriller,NA,6.2,80041,67234188
War,6.9%,93.1%,tt0499556,2007-01-01,103,Action,Crime,Thriller,6.2,90087,67179155
Mulan,-,100%,tt0120762,1998-01-01,88,Adventure,Animation,Comedy,7.6,277917,66800000
Victoria & Abdul,33.4%,66.6%,tt5816682,2017-01-01,111,Biography,Drama,History,6.8,35311,66558465
"Love, Simon",61.6%,38.4%,tt5164432,2018-01-01,110,Comedy,Drama,Romance,7.6,110308,66316289
Mile 22,54.5%,45.5%,tt4560436,2018-01-01,94,Action,Thriller,NA,6.1,77305,66308758
